file,row_id,column,dq_dimension,defect_type,description
01_vendors_master.csv,V00163,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01178,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01106,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00727,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00696,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00154,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00350,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00136,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01419,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01263,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01181,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00218,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00787,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01200,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00636,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01044,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00168,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00436,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00367,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00784,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00211,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00257,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01160,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01008,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V00185,vat_number,Validity,bad_format,VAT not 15 digits
01_vendors_master.csv,V01004,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01313,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00026,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00880,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01232,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01362,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00177,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00496,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01094,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01116,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00209,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00973,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00710,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01008,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00457,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01381,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01238,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00116,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00014,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V00585,iban,Validity,bad_checksum_or_length,IBAN fails mod-97 / length
01_vendors_master.csv,V01376,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01481,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01443,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01415,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01332,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00931,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00865,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01318,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00948,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01490,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00976,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01110,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00368,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01424,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00004,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00463,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00801,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00438,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01222,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01308,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01461,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00743,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01217,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00682,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01073,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00417,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01111,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01497,contact_phone,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V00215,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01327,contact_email,Completeness,missing_value,Required contact field empty
01_vendors_master.csv,V01419,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00226,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V01276,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00417,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00813,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00073,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00167,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V01255,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00559,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V01094,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V01236,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00358,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V01003,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V01455,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00945,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00615,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V01109,last_updated,Timeliness,stale_record,Not updated in >3 years
01_vendors_master.csv,V00023,last_updated,Timeliness,stale_record,Not updated in >3 years
